run,time,capacitance_value,thermo_volt,temperature_C
1,2026-04-08T15:44:54,1.0867408533473825e-10,0.2798278673283221,28.629
2,2026-04-08T15:44:56,1.0754863012212768e-10,0.28014273361100095,28.663
3,2026-04-08T15:44:59,1.0747179788454074e-10,0.2797586921601578,28.622
4,2026-04-08T15:45:01,1.0599717590911544e-10,0.27749141638980745,28.381
5,2026-04-08T15:45:04,1.0798423702348973e-10,0.282098721124612,28.87
6,2026-04-08T15:45:06,1.07775840480501e-10,0.28050769225683325,28.701
7,2026-04-08T15:45:09,1.0827011554959648e-10,0.2765670930220949,28.283
8,2026-04-08T15:45:11,1.0782914199881954e-10,0.26287160240087815,26.826
9,2026-04-08T15:45:14,1.0854851318821457e-10,0.2612245177933801,26.651
10,2026-04-08T15:45:16,1.0928414259061622e-10,0.25640610952814313,26.138
11,2026-04-08T15:45:18,1.1691606825666897e-10,0.21809499311825675,22.048
12,2026-04-08T15:45:21,1.0890683479079869e-10,0.1767187011535043,17.611
13,2026-04-08T15:45:23,1.0935492887031753e-10,0.15754048211761074,15.547
14,2026-04-08T15:45:26,1.0709207507463421e-10,0.1428538783111435,13.963
15,2026-04-08T15:45:28,1.0699615768772469e-10,0.1341223023433713,13.02
16,2026-04-08T15:45:31,1.0590916479932653e-10,0.12907847844394382,12.475
17,2026-04-08T15:45:33,1.0649050350369605e-10,0.11896578446351214,11.381
18,2026-04-08T15:45:35,1.0655654976667122e-10,0.11442646222155872,10.889
19,2026-04-08T15:45:38,1.0632744993419673e-10,0.1081362926198608,10.207
20,2026-04-08T15:45:40,1.0666860861618357e-10,0.10211328228831462,9.554
21,2026-04-08T15:45:43,1.058117286788266e-10,0.09552852188426186,8.839
22,2026-04-08T15:45:45,1.0658787776917433e-10,0.09469484184035082,8.749
23,2026-04-08T15:45:47,1.0594447286192559e-10,0.09431318574013403,8.708
24,2026-04-08T15:45:50,1.0593889904296608e-10,0.0861445525201816,7.82
25,2026-04-08T15:45:52,1.0405701797264484e-10,0.08457499180804007,7.649
26,2026-04-08T15:45:55,1.0605076154159938e-10,0.07810234288342599,6.945
27,2026-04-08T15:45:57,1.0581505266194068e-10,0.07707187141284066,6.833
28,2026-04-08T15:46:00,1.0202832934647338e-10,0.07609864835728786,6.727
