run,time,capacitance_value,thermo_volt,temperature_C
1,2026-04-08T16:04:49,1.5319795493502164e-10,-0.34185771769136863,-40.152
2,2026-04-08T16:04:52,4.0772263276523883e-10,-0.33478634575953947,-39.333
3,2026-04-08T16:04:54,1.4905484974086842e-10,-0.33970255340045696,-39.903
4,2026-04-08T16:04:57,6.34198731885741e-10,-0.3535960281236612,-41.514
5,2026-04-08T16:04:59,1.8915177464065564e-09,-0.35818544272876807,-42.048
6,2026-04-08T16:05:02,1.4969153293358262e-10,-0.3532942812694273,-41.479
7,2026-04-08T16:05:04,1.5134139729739786e-10,-0.3446271097685667,-40.474
8,2026-04-08T16:05:06,1.500000051794452e-10,-0.3545060393876156,-41.62
9,2026-04-08T16:05:09,1.4977795996505083e-10,-0.38303602555413363,-44.942
10,2026-04-08T16:05:11,1.487125953779595e-10,-0.3957225128604023,-46.425
11,2026-04-08T16:05:14,2.269250354373157e-10,-0.396997482770189,-46.574
12,2026-04-08T16:05:16,1.502487677486731e-10,-0.37956414771747404,-44.537
13,2026-04-08T16:05:19,1.5011484721561409e-10,-0.36437662027947226,-42.768
14,2026-04-08T16:05:21,1.610955054055257e-10,-0.35607917812569667,-41.803
15,2026-04-08T16:05:23,1.5048942803574764e-10,-0.34993093688626686,-41.089
16,2026-04-08T16:05:26,1.7174062678437035e-10,-0.3545215441666869,-41.622
17,2026-04-08T16:05:28,2.4469265910899095e-10,-0.3538142877059727,-41.54
18,2026-04-08T16:05:31,1.5011513926221027e-10,-0.3519334387370918,-41.321
19,2026-04-08T16:05:33,1.4987472464607398e-10,-0.3416466141609362,-40.128
20,2026-04-08T16:05:36,1.4808548211259473e-10,-0.33728619321595943,-39.623
21,2026-04-08T16:05:38,1.5021338239730978e-10,-0.3205398391436347,-37.686
22,2026-04-08T16:05:40,1.510832549063118e-10,-0.33038418117860147,-38.824
23,2026-04-08T16:05:43,1.5354912715210835e-10,-0.27674599431907154,-32.648
24,2026-04-08T16:05:45,1.5133012712175725e-10,-0.29003358998318163,-34.173
25,2026-04-08T16:05:47,1.5457782942367633e-10,-0.579138085897398,-68.266
26,2026-04-08T16:05:50,1.5548842544005317e-10,-0.5581446150348484,-65.725
27,2026-04-08T16:05:52,1.5607342298621553e-10,-0.5376210582456906,-63.253
28,2026-04-08T16:05:55,1.5957471667100789e-10,-0.5205920401241428,-61.209
29,2026-04-08T16:05:57,1.5616085303060765e-10,-0.5060366306021251,-59.467
30,2026-04-08T16:05:59,1.5568814684560183e-10,-0.48615592580677003,-57.096
31,2026-04-08T16:06:02,1.5793953410096606e-10,-0.4694203058122639,-55.108
32,2026-04-08T16:06:04,1.587474223734911e-10,-0.45289340399756384,-53.15
33,2026-04-08T16:06:07,1.5911445561665785e-10,-0.45897366274414253,-53.87
34,2026-04-08T16:06:09,1.619033398946204e-10,-0.4463134142947638,-52.373
35,2026-04-08T16:06:11,5.59603723696082e-10,-0.43170552705896625,-50.65
36,2026-04-08T16:06:14,1.5968467138607102e-10,-0.4393279149854834,-51.548
37,2026-04-08T16:06:16,1.558655294388862e-10,-0.19360817626341031,-23.183
38,2026-04-08T16:06:19,1.6080178362990823e-10,-0.1919098066174456,-22.99
39,2026-04-08T16:06:21,1.6059326385512144e-10,-0.1783168860731621,-21.455
40,2026-04-08T16:06:23,1.7078317703016696e-10,-0.28112192004311964,-33.15
41,2026-04-08T16:06:26,1.5868640785098209e-10,-0.19845163071022398,-23.731
42,2026-04-08T16:06:28,1.6139517927063728e-10,-0.11878330514059598,-14.768
43,2026-04-08T16:06:31,1.614120794375752e-10,-0.11091880412550381,-13.889
44,2026-04-08T16:06:33,1.6214360113285632e-10,-0.10400009463376136,-13.117
45,2026-04-08T16:06:35,1.608808094613414e-10,-0.11602822516715605,-14.46
46,2026-04-08T16:06:38,1.6049638494156232e-10,-0.10407404050317837,-13.125
47,2026-04-08T16:06:41,1.6183361226840045e-10,-0.11820724296433127,-14.704
48,2026-04-08T16:06:43,1.6126905484697622e-10,-0.15711708238143274,-19.067
49,2026-04-08T16:06:45,1.6180301261602734e-10,-0.14514739293838375,-17.722
50,2026-04-08T16:06:48,1.621312714079954e-10,-0.13725068968983578,-16.836
51,2026-04-08T16:06:50,1.6150121447390622e-10,-0.11660905804467347,-14.525
52,2026-04-08T16:06:53,1.6171199692753628e-10,-0.08708915136821815,-11.232
53,2026-04-08T16:06:55,1.6123757220156202e-10,-0.12360648410708563,-15.308
54,2026-04-08T16:06:58,1.6196564507719014e-10,-0.11439425998810293,-14.277
55,2026-04-08T16:07:00,1.6052157167495946e-10,-0.11568354200164777,-14.422
56,2026-04-08T16:07:03,1.6071059701195114e-10,-0.14992047954171994,-18.258
57,2026-04-08T16:07:05,1.609092923957271e-10,-0.11376572009805841,-14.207
