run,time,capacitance_value,thermo_volt,temperature_C
1,2026-04-09T16:26:26,1.3004768780609932e-10,0.220590069873424,22.315
2,2026-04-09T16:26:28,1.301069734911731e-10,0.21907060152443592,22.153
3,2026-04-09T16:26:31,1.296609560536794e-10,0.2239450655293922,22.674
4,2026-04-09T16:26:33,1.2967919229274913e-10,0.2241728665142091,22.698
5,2026-04-09T16:26:35,1.3024224895922166e-10,0.22530352271110132,22.819
6,2026-04-09T16:26:38,1.2996235159816744e-10,0.21942244074182327,22.19
7,2026-04-09T16:26:40,1.2984692376384506e-10,0.21828462849305197,22.069
8,2026-04-09T16:26:43,1.2978731773020984e-10,0.2253094860876672,22.82
9,2026-04-09T16:26:45,1.292197514451342e-10,0.21487954047393032,21.704
10,2026-04-09T16:26:48,1.075596362605358e-10,0.21447522354276316,21.661
11,2026-04-09T16:26:50,1.299941966887623e-10,0.2054192398898067,20.691
12,2026-04-09T16:26:53,1.289843345215897e-10,0.20384133045047292,20.522
13,2026-04-09T16:26:55,1.2989924632055216e-10,0.19668527857140816,19.755
14,2026-04-09T16:26:57,1.305202833331352e-10,0.18817196218594745,18.842
15,2026-04-09T16:27:00,1.2943116682821094e-10,0.18174821294917365,18.152
16,2026-04-09T16:27:02,1.3002158366819032e-10,0.17980057416275486,17.942
17,2026-04-09T16:27:04,1.2932038267561869e-10,0.17163432629342878,17.064
18,2026-04-09T16:27:07,1.291216580748712e-10,0.17141845206174366,17.041
19,2026-04-09T16:27:09,1.2903591404214765e-10,0.16649270301832075,16.511
20,2026-04-09T16:27:12,1.2863924896398198e-10,0.1570824947973506,15.498
21,2026-04-09T16:27:14,2.14615399344019e-10,0.15394695139900705,15.16
22,2026-04-09T16:27:17,1.2851930504639492e-10,0.1522294989480315,14.975
23,2026-04-09T16:27:19,1.2854689237833703e-10,0.14772237893953388,14.488
24,2026-04-09T16:27:21,1.282461579743992e-10,0.14557556337581445,14.257
25,2026-04-09T16:27:24,1.2833978032117655e-10,0.14492078462888003,14.186
26,2026-04-09T16:27:26,1.2839575354000278e-10,0.14295167768682404,13.974
27,2026-04-09T16:27:29,1.2756183653301474e-10,0.14024311205059803,13.681
28,2026-04-09T16:27:31,1.276601899364548e-10,0.1378267518661005,13.42
29,2026-04-09T16:27:33,1.2827431966452103e-10,0.13616296980421794,13.241
30,2026-04-09T16:27:36,1.2975326007482744e-10,0.13480809064844834,13.094
31,2026-04-09T16:27:38,1.277245887634437e-10,0.13421652369311232,13.03
32,2026-04-09T16:27:41,1.27574952251595e-10,0.13298926079585272,12.898
33,2026-04-09T16:27:43,1.2766385883998968e-10,0.13275311108384358,12.872
34,2026-04-09T16:27:45,1.2770607877200954e-10,0.12813507227122045,12.373
35,2026-04-09T16:27:48,1.2730141335755693e-10,0.13157116984848471,12.744
36,2026-04-09T16:27:50,1.2692638860336604e-10,0.13203034984405804,12.794
37,2026-04-09T16:27:53,1.2717300000556554e-10,0.13106547551569747,12.69
38,2026-04-09T16:27:55,1.271432550645413e-10,0.12882205325161067,12.447
39,2026-04-09T16:27:57,1.27699976703169e-10,0.12737891612266594,12.291
40,2026-04-09T16:28:00,1.2703005042966066e-10,0.12507228206698073,12.042
41,2026-04-09T16:28:02,1.2763727449858805e-10,0.11988056642871925,11.48
42,2026-04-09T16:28:05,1.2663624103288109e-10,0.11817027002962277,11.295
43,2026-04-09T16:28:07,1.3153518849268398e-10,0.11214129632151071,10.641
44,2026-04-09T16:28:09,1.271007895267253e-10,0.10933850933554368,10.338
45,2026-04-09T16:28:12,1.270768797547535e-10,0.10720600587558238,10.107
46,2026-04-09T16:28:14,1.2686363960761901e-10,0.10821977989178322,10.216
47,2026-04-09T16:28:16,1.265236652387287e-10,0.10681480837286017,10.064
48,2026-04-09T16:28:19,1.2618399909261105e-10,0.10663948510182308,10.045
49,2026-04-09T16:28:21,1.2700804857300682e-10,0.10357908024820972,9.713
50,2026-04-09T16:28:24,1.267420388703931e-10,0.10160043190364831,9.499
51,2026-04-09T16:28:26,1.2587035616986345e-10,0.10431496091644021,9.793
52,2026-04-09T16:28:29,1.2617110697765805e-10,0.0986378264257155,9.177
53,2026-04-09T16:28:31,1.2632879396466507e-10,0.09593880219199491,8.884
54,2026-04-09T16:28:33,1.2631111796293247e-10,0.09293087505216135,8.557
55,2026-04-09T16:28:36,1.2794800349274482e-10,0.0934473034627672,8.613
56,2026-04-09T16:28:38,1.266412678776241e-10,0.09254325557537868,8.515
