run,time,capacitance_value,thermo_volt,temperature_C
1,2026-04-09T13:32:12,9.795164633396526e-11,0.2588355891410856,26.396
2,2026-04-09T13:32:15,9.766036873774027e-11,0.2552587558768664,26.016
3,2026-04-09T13:32:17,9.785764333044492e-11,0.25851714483246724,26.363
4,2026-04-09T13:32:20,9.764040294841379e-11,0.2589465079452111,26.408
5,2026-04-09T13:32:22,9.804001606168804e-11,0.2616562662567503,26.697
6,2026-04-09T13:32:25,9.778684688578458e-11,0.26100268018512907,26.627
7,2026-04-09T13:32:27,9.785918871063648e-11,0.2566995076551848,26.169
8,2026-04-09T13:32:30,9.802128568980518e-11,0.2570537322231985,26.207
9,2026-04-09T13:32:32,9.773628591219544e-11,0.2589691687761615,26.411
10,2026-04-09T13:32:35,9.835627294028102e-11,0.26162287134798135,26.693
11,2026-04-09T13:32:37,9.773908172284236e-11,0.26014156860901494,26.536
12,2026-04-09T13:32:40,9.796346822778966e-11,0.2591695382287753,26.432
13,2026-04-09T13:32:42,9.787822389727006e-11,0.25835851901581464,26.346
14,2026-04-09T13:32:44,9.780150492729653e-11,0.260941853744157,26.621
15,2026-04-09T13:32:47,9.801133337689434e-11,0.2578945683189886,26.296
16,2026-04-09T13:32:49,9.636900876333142e-11,0.2598374364041547,26.503
17,2026-04-09T13:32:52,9.727835897067552e-11,0.25808181834315747,26.316
18,2026-04-09T13:32:54,9.789416418291194e-11,0.25808301101847064,26.316
19,2026-04-09T13:32:57,9.733983058334452e-11,0.258710358233202,26.383
20,2026-04-09T13:32:59,9.701016646896905e-11,0.2583704457689464,26.347
21,2026-04-09T13:33:01,9.806771748536461e-11,0.2593126592663566,26.447
22,2026-04-09T13:33:04,9.766638413119484e-11,0.2576834647885562,26.274
23,2026-04-09T13:33:06,9.830472211060838e-11,0.26059597790333555,26.584
24,2026-04-09T13:33:09,9.61249016728623e-11,0.258656687844109,26.377
25,2026-04-09T13:33:11,9.719151992650118e-11,0.2568163898358762,26.181
26,2026-04-09T13:33:14,9.785474398336819e-11,0.2582022785497884,26.329
27,2026-04-09T13:33:16,9.789200802262563e-11,0.2579542020846475,26.303
28,2026-04-09T13:33:18,9.67563640995382e-11,0.25983385837821515,26.503
29,2026-04-09T13:33:21,9.760737724671996e-11,0.25920412581285746,26.436
30,2026-04-09T13:33:23,9.730215843934474e-11,0.2568271239136948,26.183
