run,time,capacitance_value,thermo_volt,temperature_C
1,2026-04-09T10:04:31,1.522331701584067e-10,0.24843546041017817,25.288
2,2026-04-09T10:04:33,1.5224961663943148e-10,0.24570423394300178,24.997
3,2026-04-09T10:04:36,1.5248042109276738e-10,0.24793692212927,25.235
4,2026-04-09T10:04:38,1.526677010887876e-10,0.24923932357125977,25.374
5,2026-04-09T10:04:41,1.5230832284700044e-10,0.25130861523962267,25.595
6,2026-04-09T10:04:43,1.3917240266447837e-10,0.25190256754558504,25.658
7,2026-04-09T10:04:46,1.525089417330096e-10,0.24990722174663915,25.445
8,2026-04-09T10:04:48,1.5257000741462168e-10,0.2511487967476569,25.578
9,2026-04-09T10:04:50,1.511835641981648e-10,0.25185963123431065,25.653
10,2026-04-09T10:04:53,1.5264891677423033e-10,0.2498416246044144,25.438
11,2026-04-09T10:04:55,1.525518852873224e-10,0.2509460419444167,25.556
12,2026-04-09T10:04:58,1.5223357685578198e-10,0.24907234902741493,25.356
13,2026-04-09T10:05:00,1.523086025120466e-10,0.24870261968032992,25.317
14,2026-04-09T10:05:03,1.5233503423135386e-10,0.24712471024099614,25.149
15,2026-04-09T10:05:05,1.5230201993134635e-10,0.2503377775346962,25.491
16,2026-04-09T10:05:08,1.5260111757880403e-10,0.24756957813281133,25.196
17,2026-04-09T10:05:10,1.5242047836616466e-10,0.24908189042992035,25.357
18,2026-04-09T10:05:13,1.5223581485817001e-10,0.25195623793467803,25.664
19,2026-04-09T10:05:15,1.5210157187866713e-10,0.25242018863150406,25.713
20,2026-04-09T10:05:17,1.5246763140706773e-10,0.24726663860326425,25.164
21,2026-04-09T10:05:20,1.5233293009128797e-10,0.2516926566904658,25.636
22,2026-04-09T10:05:22,1.525281977546717e-10,0.25051071545510695,25.51
23,2026-04-09T10:05:25,1.523341772490273e-10,0.2507134702583471,25.531
24,2026-04-09T10:05:27,1.5231086321247654e-10,0.2490532662224041,25.354
25,2026-04-09T10:05:30,1.5237793229330107e-10,0.2498094223709586,25.435
26,2026-04-09T10:05:32,1.5229048402181456e-10,0.25299744348308195,25.775
27,2026-04-09T10:05:35,1.5232338281744583e-10,0.24998832366793522,25.454
28,2026-04-09T10:05:37,1.5243197754418926e-10,0.24836389989138752,25.281
29,2026-04-09T10:05:39,1.5262491817055786e-10,0.2479309587527041,25.235
30,2026-04-09T10:05:42,1.523493749892535e-10,0.2479094905970669,25.232
