frequency_hz,gain,gain_db
50.0,0.05211,-25.6618
50.2659,0.04601,-26.743
50.5332,0.05412,-25.3326
50.8019,0.06313,-23.9955
51.0721,0.04581,-26.7806
51.3436,0.04607,-26.7321
51.6167,0.06446,-23.8144
51.8912,0.0566,-24.9437
52.1671,0.04449,-27.0345
52.4445,0.05487,-25.2128
52.7234,0.04508,-26.9209
53.0038,0.04532,-26.8745
53.2856,0.05266,-25.5702
53.569,0.03138,-30.068
53.8538,0.03353,-29.4917
54.1402,0.04543,-26.8541
54.4281,0.04119,-27.7039
54.7176,0.05474,-25.2346
55.0085,0.04279,-27.3737
55.301,0.03802,-28.3996
55.5951,0.06708,-23.4685
55.8908,0.05044,-25.9441
56.188,0.05366,-25.4077
56.4868,0.03902,-28.1753
56.7871,0.0481,-26.3567
57.0891,0.05494,-25.2022
57.3927,0.04261,-27.4102
57.6979,0.05816,-24.7071
58.0047,0.04869,-26.2514
58.3132,0.05207,-25.6683
58.6233,0.04926,-26.1497
58.935,0.0741,-22.6041
59.2484,0.05573,-25.0776
59.5635,0.04559,-26.8227
59.8802,0.06469,-23.7831
60.1986,0.04456,-27.0215
60.5188,0.05916,-24.5599
60.8406,0.03778,-28.4558
61.1641,0.0444,-27.0532
61.4894,0.05995,-24.4437
61.8163,0.06568,-23.6516
62.1451,0.06032,-24.3911
62.4755,0.05776,-24.7676
62.8078,0.05622,-25.0024
63.1418,0.04476,-26.9823
63.4775,0.05266,-25.5698
63.8151,0.05557,-25.1026
64.1544,0.07107,-22.966
64.4956,0.06426,-23.8413
64.8386,0.04352,-27.2269
65.1833,0.06471,-23.7801
65.53,0.05795,-24.7391
65.8784,0.05536,-25.1362
66.2288,0.06858,-23.2765
66.581,0.0731,-22.7214
66.935,0.07244,-22.8005
67.291,0.05507,-25.1816
67.6488,0.06071,-24.335
68.0085,0.06745,-23.42
68.3702,0.07424,-22.5876
68.7337,0.06003,-24.4321
69.0993,0.06331,-23.97
69.4667,0.05445,-25.2794
69.8361,0.0539,-25.3675
70.2075,0.07434,-22.5753
70.5808,0.08013,-21.9239
70.9561,0.0662,-23.5823
71.3335,0.07732,-22.2346
71.7128,0.07126,-22.9437
72.0941,0.06155,-24.2157
72.4775,0.07198,-22.8563
72.8629,0.08411,-21.5035
73.2504,0.06873,-23.2567
73.6399,0.08511,-21.4008
74.0315,0.04363,-27.2039
74.4252,0.07842,-22.1114
74.821,0.07145,-22.9205
75.2188,0.06796,-23.3548
75.6188,0.07225,-22.8236
76.021,0.05183,-25.7078
76.4252,0.06989,-23.1112
76.8316,0.07605,-22.3785
77.2402,0.08764,-21.1459
77.6509,0.06807,-23.3413
78.0639,0.06555,-23.6679
78.479,0.06901,-23.2212
78.8963,0.08358,-21.5579
79.3159,0.07811,-22.1459
79.7376,0.06992,-23.1075
80.1617,0.08075,-21.8566
80.5879,0.077,-22.2707
81.0165,0.08612,-21.2983
81.4473,0.06982,-23.1208
81.8804,0.07397,-22.6189
82.3158,0.07374,-22.6463
82.7536,0.06344,-23.9532
83.1936,0.08145,-21.7823
83.636,0.08152,-21.7751
84.0808,0.07938,-22.006
84.5279,0.0774,-22.2248
84.9774,0.06602,-23.6064
85.4293,0.0764,-22.3387
85.8836,0.0776,-22.2023
86.3403,0.07344,-22.6813
86.7994,0.08028,-21.9074
87.261,0.08637,-21.2723
87.725,0.10163,-19.8592
88.1915,0.08496,-21.4158
88.6605,0.08623,-21.2866
89.1319,0.08336,-21.581
89.6059,0.06536,-23.6933
90.0824,0.08474,-21.4386
90.5614,0.08606,-21.3042
91.043,0.11054,-19.1294
91.5272,0.08444,-21.4685
92.0139,0.08984,-20.9302
92.5032,0.08694,-21.2151
92.9951,0.07607,-22.3757
93.4896,0.09965,-20.0302
93.9868,0.09621,-20.3352
94.4866,0.09708,-20.2575
94.989,0.08055,-21.8787
95.4941,0.10415,-19.6469
96.0019,0.07658,-22.3173
96.5124,0.09695,-20.2687
97.0257,0.11348,-18.902
97.5416,0.08215,-21.7075
98.0603,0.08689,-21.2209
98.5818,0.09404,-20.5337
99.106,0.0885,-21.0606
99.633,0.07853,-22.0991
100.1628,0.09523,-20.4249
100.6955,0.08442,-21.471
101.231,0.10029,-19.9751
101.7693,0.08687,-21.2229
102.3105,0.11207,-19.01
102.8545,0.08926,-20.9873
103.4015,0.09439,-20.5019
103.9513,0.10626,-19.4724
104.5041,0.08634,-21.2756
105.0598,0.10145,-19.8749
105.6185,0.11278,-18.9556
106.1802,0.08416,-21.4976
106.7448,0.10262,-19.7755
107.3124,0.10391,-19.6669
107.8831,0.10967,-19.1983
108.4568,0.09002,-20.9128
109.0335,0.08974,-20.9407
109.6133,0.10871,-19.2747
110.1962,0.10701,-19.4114
110.7822,0.1071,-19.404
111.3713,0.10862,-19.2818
111.9636,0.09892,-20.0946
112.5589,0.1086,-19.2831
113.1575,0.10978,-19.1896
113.7592,0.10027,-19.9762
114.3642,0.12665,-17.9479
114.9723,0.11331,-18.9149
115.5837,0.09723,-20.2436
116.1984,0.1163,-18.6887
116.8163,0.10057,-19.9507
117.4375,0.11878,-18.5054
118.062,0.12308,-18.196
118.6898,0.10389,-19.6689
119.3209,0.12232,-18.2497
119.9555,0.11742,-18.6051
120.5933,0.12212,-18.2644
121.2346,0.13347,-17.4921
121.8793,0.11266,-18.9643
122.5274,0.10819,-19.3159
123.179,0.10746,-19.3754
123.834,0.10881,-19.2663
124.4925,0.11683,-18.6492
125.1546,0.12164,-18.2987
125.8201,0.12162,-18.2997
126.4892,0.12776,-17.8719
127.1618,0.12026,-18.3976
127.838,0.13531,-17.3736
128.5178,0.11877,-18.5059
129.2012,0.14927,-16.5207
129.8883,0.12897,-17.7899
130.579,0.1148,-18.801
131.2734,0.11332,-18.9136
131.9715,0.12952,-17.7533
132.6732,0.12313,-18.1929
133.3788,0.13317,-17.5117
134.088,0.13144,-17.6256
134.8011,0.12665,-17.9476
135.5179,0.1196,-18.4457
136.2385,0.1136,-18.8924
136.963,0.12497,-18.0638
137.6914,0.13869,-17.1589
138.4236,0.13297,-17.5252
139.1597,0.11907,-18.4842
139.8997,0.13396,-17.4606
140.6436,0.13679,-17.2791
141.3915,0.12481,-18.0753
142.1434,0.1359,-17.3358
142.8993,0.13566,-17.3509
143.6592,0.12437,-18.1056
144.4231,0.14011,-17.0709
145.1911,0.14287,-16.9015
145.9632,0.14882,-16.5466
146.7394,0.14927,-16.5207
147.5197,0.1257,-18.0136
148.3042,0.13084,-17.6652
149.0928,0.14612,-16.7058
149.8856,0.14686,-16.6619
150.6827,0.14763,-16.6164
151.484,0.18177,-14.8095
152.2895,0.14972,-16.4944
153.0993,0.15614,-16.1298
153.9135,0.1551,-16.1879
154.732,0.15285,-16.3147
155.5548,0.14397,-16.8347
156.382,0.1555,-16.1656
157.2136,0.14097,-17.0174
158.0496,0.14713,-16.6461
158.89,0.14544,-16.7462
159.735,0.15192,-16.3677
160.5844,0.17506,-15.1364
161.4383,0.13405,-17.4546
162.2968,0.1604,-15.8956
163.1599,0.13824,-17.1875
164.0275,0.15047,-16.4509
164.8998,0.16691,-15.5502
165.7766,0.1575,-16.0543
166.6582,0.14692,-16.6582
167.5444,0.15139,-16.3979
168.4354,0.16619,-15.5879
169.3311,0.15295,-16.3093
170.2315,0.16327,-15.7417
171.1368,0.16243,-15.7868
172.0468,0.15632,-16.1195
172.9617,0.18515,-14.6494
173.8815,0.17093,-15.3436
174.8061,0.14522,-16.7593
175.7357,0.16823,-15.4821
176.6702,0.16064,-15.8832
177.6097,0.17668,-15.0565
178.5542,0.16113,-15.8566
179.5037,0.16881,-15.4519
180.4582,0.17592,-15.0936
181.4178,0.18045,-14.873
182.3826,0.16071,-15.8793
183.3524,0.17029,-15.3761
184.3274,0.16982,-15.4002
185.3076,0.16897,-15.4436
186.2931,0.1941,-14.2394
187.2837,0.18145,-14.8251
188.2796,0.16574,-15.6115
189.2808,0.18848,-14.4945
190.2874,0.20149,-13.9149
191.2993,0.19156,-14.3538
192.3166,0.16702,-15.5448
193.3392,0.17835,-14.9747
194.3674,0.19684,-14.1176
195.4009,0.17809,-14.9874
196.44,0.1906,-14.3977
197.4846,0.1949,-14.2036
198.5348,0.1789,-14.948
199.5906,0.18858,-14.4901
200.6519,0.15778,-16.039
201.7189,0.18097,-14.8478
202.7916,0.18972,-14.4378
203.87,0.1808,-14.8561
204.9541,0.21064,-13.5292
206.044,0.18106,-14.8435
207.1397,0.19201,-14.3334
208.2412,0.19878,-14.0327
209.3486,0.21294,-13.4347
210.4618,0.18524,-14.6453
211.581,0.21231,-13.4608
212.7061,0.20186,-13.8992
213.8372,0.19302,-14.2877
214.9744,0.20855,-13.6157
216.1175,0.20702,-13.6797
217.2668,0.20013,-13.9737
218.4221,0.20794,-13.6412
219.5837,0.20451,-13.7858
220.7513,0.21062,-13.5301
221.9252,0.21723,-13.2615
223.1054,0.22761,-12.8563
224.2918,0.20051,-13.9574
225.4845,0.23536,-12.5652
226.6835,0.19567,-14.1697
227.889,0.21483,-13.3581
229.1008,0.2234,-13.0185
230.3191,0.2215,-13.0927
231.5439,0.21364,-13.4064
232.7752,0.21897,-13.1923
234.013,0.21731,-13.2583
235.2574,0.21755,-13.2489
236.5085,0.23314,-12.6475
237.7661,0.22943,-12.787
239.0305,0.22015,-13.1456
240.3016,0.2373,-12.494
241.5795,0.23261,-12.6674
242.8641,0.2389,-12.4355
244.1556,0.23832,-12.4568
245.4539,0.22499,-12.9569
246.7592,0.22893,-12.8058
248.0714,0.24327,-12.2781
249.3906,0.24318,-12.2815
250.7167,0.23815,-12.4631
252.05,0.24082,-12.3662
253.3903,0.25372,-11.913
254.7378,0.23633,-12.5297
256.0924,0.24902,-12.0752
257.4542,0.24285,-12.2933
258.8233,0.24402,-12.2516
260.1996,0.25851,-11.7504
261.5833,0.25712,-11.7973
262.9743,0.25835,-11.756
264.3727,0.26462,-11.5476
265.7786,0.25314,-11.9329
267.1919,0.26111,-11.6634
268.6128,0.25257,-11.9524
270.0412,0.2603,-11.6906
271.4772,0.25715,-11.7964
272.9208,0.26082,-11.6733
274.3721,0.26721,-11.463
275.8312,0.25449,-11.8866
277.298,0.28502,-10.9026
278.7725,0.25547,-11.8534
280.255,0.25482,-11.8752
281.7453,0.27999,-11.0571
283.2435,0.27778,-11.1259
284.7497,0.27757,-11.1325
286.264,0.27909,-11.0852
287.7862,0.27416,-11.2399
289.3166,0.2668,-11.4764
290.8551,0.27802,-11.1183
292.4018,0.272,-11.3086
293.9567,0.29004,-10.751
295.5199,0.28034,-11.0464
297.0913,0.27508,-11.2108
298.6712,0.28166,-11.0054
300.2594,0.29055,-10.7355
301.8561,0.28234,-10.9845
303.4613,0.28132,-11.0159
305.075,0.29355,-10.6462
306.6973,0.29515,-10.5992
308.3283,0.28922,-10.7754
309.9679,0.29118,-10.7167
311.6162,0.29982,-10.4628
313.2733,0.28464,-10.9141
314.9392,0.28667,-10.8523
316.6139,0.2952,-10.5977
318.2976,0.30189,-10.4029
319.9902,0.30879,-10.2067
321.6918,0.3221,-9.8402
