frequency_hz,gain,gain_db
50.0,0.21093,-13.5171
50.2659,0.21736,-13.2565
50.5332,0.212,-13.4732
50.8019,0.21798,-13.2318
51.0721,0.20325,-13.8393
51.3436,0.22546,-12.9386
51.6167,0.22449,-12.9762
51.8912,0.21745,-13.2527
52.1671,0.23337,-12.639
52.4445,0.23732,-12.4935
52.7234,0.21303,-13.4311
53.0038,0.22265,-13.0475
53.2856,0.22376,-13.0042
53.569,0.22324,-13.0246
53.8538,0.24212,-12.3193
54.1402,0.23308,-12.6498
54.4281,0.23358,-12.6314
54.7176,0.21739,-13.2553
55.0085,0.24499,-12.217
55.301,0.22746,-12.8618
55.5951,0.24168,-12.3353
55.8908,0.24508,-12.2139
56.188,0.25715,-11.7964
56.4868,0.23169,-12.7019
56.7871,0.21583,-13.3178
57.0891,0.24911,-12.0721
57.3927,0.26654,-11.4849
57.6979,0.26218,-11.6279
58.0047,0.25316,-11.9322
58.3132,0.24742,-12.1313
58.6233,0.26169,-11.6444
58.935,0.24517,-12.2108
59.2484,0.26096,-11.6686
59.5635,0.26255,-11.6159
59.8802,0.2694,-11.3922
60.1986,0.2877,-10.8212
60.5188,0.26534,-11.5238
60.8406,0.25765,-11.7794
61.1641,0.26381,-11.5741
61.4894,0.24771,-12.1211
61.8163,0.25979,-11.7074
62.1451,0.26399,-11.5682
62.4755,0.2642,-11.5615
62.8078,0.27232,-11.2985
63.1418,0.26393,-11.5701
63.4775,0.28474,-10.9111
63.8151,0.27491,-11.2163
64.1544,0.27619,-11.1758
64.4956,0.27439,-11.2325
64.8386,0.28062,-11.0377
65.1833,0.28872,-10.7905
65.53,0.2732,-11.2703
65.8784,0.2767,-11.1597
66.2288,0.28167,-11.0053
66.581,0.27267,-11.2872
66.935,0.27937,-11.0765
67.291,0.28424,-10.9264
67.6488,0.29919,-10.4812
68.0085,0.29452,-10.6178
68.3702,0.29528,-10.5952
68.7337,0.30332,-10.362
69.0993,0.29491,-10.6063
69.4667,0.30166,-10.4097
69.8361,0.2982,-10.5097
70.2075,0.30338,-10.3603
70.5808,0.29639,-10.5627
70.9561,0.27933,-11.0776
71.3335,0.30388,-10.3459
71.7128,0.32097,-9.8708
72.0941,0.31752,-9.9645
72.4775,0.31944,-9.9122
72.8629,0.32368,-9.7977
73.2504,0.31374,-10.0685
73.6399,0.31638,-9.9959
74.0315,0.30978,-10.179
74.4252,0.31435,-10.0517
74.821,0.32524,-9.756
75.2188,0.33269,-9.5593
75.6188,0.32083,-9.8744
76.021,0.31931,-9.9158
76.4252,0.32541,-9.7515
76.8316,0.33301,-9.5508
