run,time,capacitance_value,thermo_volt,temperature_C
1,2026-04-08T17:17:17,2.0132788621965735e-10,-0.08724300648361805,-11.249
2,2026-04-08T17:17:19,2.010039309968487e-10,-0.08804209894344694,-11.338
3,2026-04-08T17:17:22,2.0116848280643498e-10,-0.08769622310262548,-11.3
4,2026-04-08T17:17:24,1.997294824726763e-10,-0.08647969428318447,-11.164
5,2026-04-08T17:17:27,2.0096393979081858e-10,-0.09551182442987738,-12.17
6,2026-04-08T17:17:29,2.020419049957318e-10,-0.07249557623617875,-9.61
7,2026-04-08T17:17:31,2.041315686066705e-10,-0.0740329347148645,-9.78
8,2026-04-08T17:17:34,2.054665006956647e-10,-0.15762993276609905,-19.125
9,2026-04-08T17:17:36,2.068370815539905e-10,-0.15760369390920914,-19.122
10,2026-04-08T17:17:38,2.0736189216179687e-10,-0.1310106124512913,-16.137
11,2026-04-08T17:17:41,2.062727439592781e-10,-0.07259218293654612,-9.62
12,2026-04-08T17:17:43,2.1065859124209454e-10,-0.036134483963337516,-5.581
13,2026-04-08T17:17:46,2.0910734448011929e-10,-0.02570215299897427,-4.429
14,2026-04-08T17:17:48,2.2199366907720895e-10,-0.030809188690000155,-4.993
15,2026-04-08T17:17:50,2.1010002559090954e-10,-0.17643603710428124,-21.243
16,2026-04-08T17:17:53,2.1525218937790384e-10,-0.20423014260256878,-24.385
17,2026-04-08T17:17:55,2.0706984857188774e-10,-0.21474476816354127,-25.577
18,2026-04-08T17:17:58,2.1092645123485319e-10,-0.2080121160206545,-24.813
19,2026-04-08T17:18:00,2.1203287071343811e-10,-0.12052103307189554,-14.962
20,2026-04-08T17:18:02,2.1187954195265598e-10,-0.10226475205308816,-12.923
21,2026-04-08T17:18:05,2.1188429030120412e-10,-0.1381332694215871,-16.935
22,2026-04-08T17:18:07,2.1130896150125233e-10,-0.15550339268270363,-18.886
23,2026-04-08T17:18:10,2.10780403031551e-10,-0.17637759601393554,-21.236
24,2026-04-08T17:18:12,2.1042314145856663e-10,-0.15998546650962453,-19.39
25,2026-04-08T17:18:15,2.1294328856530263e-10,-0.19957393817992397,-23.858
26,2026-04-08T17:18:17,2.1294157300955175e-10,-0.1851103646570209,-22.222
27,2026-04-08T17:18:19,2.1332256820881738e-10,-0.04847748077941105,-6.946
28,2026-04-08T17:18:22,2.1338350680268326e-10,0.003427748850072021,-1.221
29,2026-04-08T17:18:24,2.1341058791555879e-10,0.0015039635699167775,-1.433
30,2026-04-08T17:18:27,2.1306349692355177e-10,0.01567175361515183,0.123
