run,time,capacitance_value,thermo_volt,temperature_C
1,2026-04-09T11:29:59,1.9183999789738627e-10,-0.24581634542244046,-29.112
2,2026-04-09T11:30:01,1.9358595190603623e-10,-0.30263181931627514,-35.622
3,2026-04-09T11:30:04,1.9465405364489666e-10,-0.20418839896660756,-24.38
4,2026-04-09T11:30:06,1.969800878152373e-10,-0.21221152579835234,-25.29
5,2026-04-09T11:30:09,1.9258055577815366e-10,-0.2909817668571577,-34.282
6,2026-04-09T11:30:11,1.9674392438171893e-10,-0.3522995900582373,-41.364
7,2026-04-09T11:30:14,1.988836413879647e-10,-0.3501992888317318,-41.12
8,2026-04-09T11:30:16,2.0069032281782096e-10,-0.18469889167397469,-22.176
9,2026-04-09T11:30:19,2.0050638384525862e-10,-0.33697251960859376,-39.587
10,2026-04-09T11:30:21,1.702854134986468e-10,-0.33827969175183625,-39.738
11,2026-04-09T11:30:24,2.3089696919215724e-10,-0.34152853930493166,-40.114
12,2026-04-09T11:30:26,9.422849784751517e-12,-0.3368365546228915,-39.571
13,2026-04-09T11:30:29,2.039268362748907e-10,-0.3358418634117015,-39.456
14,2026-04-09T11:30:31,2.0358137611165083e-10,-0.3313132752475667,-38.932
15,2026-04-09T11:30:34,2.038103566926226e-10,-0.3241500673166229,-38.103
16,2026-04-09T11:30:36,2.0322154856371243e-10,-0.31682942624433963,-37.258
17,2026-04-09T11:30:39,2.048804054694401e-10,-0.3207783742062702,-37.714
18,2026-04-09T11:30:41,2.061673312149563e-10,-0.3215715032895332,-37.805
19,2026-04-09T11:30:43,2.062019836998879e-10,-0.31431049598290883,-36.967
20,2026-04-09T11:30:46,2.0555411554027535e-10,-0.3041644070937082,-35.798
21,2026-04-09T11:30:48,2.0591607256772978e-10,-0.29900727903952884,-35.204
22,2026-04-09T11:30:51,2.524872747046423e-11,-0.2817814694913068,-33.225
23,2026-04-09T11:30:53,9.15912742755134e-12,-0.2881050340017737,-33.951
24,2026-04-09T11:30:56,2.067531158179695e-10,-0.2782129849542798,-32.816
25,2026-04-09T11:30:58,2.0142365910157402e-10,-0.2784372079131572,-32.842
26,2026-04-09T11:31:00,2.3085967890928752e-10,-0.281453483780183,-33.188
27,2026-04-09T11:31:03,9.460590229563406e-12,-0.274349909614898,-32.373
28,2026-04-09T11:31:05,9.109417152703282e-12,-0.27762499602488333,-32.749
29,2026-04-09T11:31:08,2.119607342710204e-10,-0.2753100132420059,-32.483
30,2026-04-09T11:31:11,9.45342131837283e-12,-0.26241719310655753,-31.008
31,2026-04-09T11:31:13,9.251495519073508e-12,-0.25806035018752027,-30.51
32,2026-04-09T11:31:15,1.8967015293097626e-10,-0.2621703093167298,-30.979
33,2026-04-09T11:31:18,2.0885678970884153e-10,-0.26479180965509386,-31.279
34,2026-04-09T11:31:20,2.1431589878418753e-10,-0.2578886049424227,-30.49
35,2026-04-09T11:31:23,2.153098915904117e-10,-0.25219358032200034,-29.839
36,2026-04-09T11:31:25,2.0959973514836639e-10,-0.2487348219137857,-29.445
37,2026-04-09T11:31:28,1.9689793873537018e-10,-0.24364090565120478,-28.864
38,2026-04-09T11:31:30,2.746499970420583e-10,-0.23631787922829517,-28.029
39,2026-04-09T11:31:33,2.1559560086978998e-10,-0.2365599923168702,-28.057
40,2026-04-09T11:31:35,2.0950205263598699e-10,-0.22953990542350766,-27.258
41,2026-04-09T11:31:38,2.0859128623221253e-10,-0.23025073991016143,-27.339
42,2026-04-09T11:31:40,2.0755180851132868e-10,-0.2346600605429785,-27.841
43,2026-04-09T11:31:43,2.0823946440768175e-10,-0.22462369778259017,-26.699
44,2026-04-09T11:31:45,2.0821296751692004e-10,-0.2259606868086621,-26.851
45,2026-04-09T11:31:47,2.085944534624444e-10,-0.22420506874766488,-26.651
46,2026-04-09T11:31:50,2.7254420002933675e-10,-0.2251305847906906,-26.757
47,2026-04-09T11:31:53,2.0771519636889965e-10,-0.22137723558012112,-26.33
48,2026-04-09T11:31:55,2.0736629481406083e-10,-0.21953335954594877,-26.121
49,2026-04-09T11:31:58,2.0781589603451827e-10,-0.21914693274447927,-26.077
50,2026-04-09T11:32:00,2.0891987620828927e-10,-0.21237015161500494,-25.308
51,2026-04-09T11:32:02,2.0613764543743777e-10,-0.20444720950956707,-24.409
52,2026-04-09T11:32:05,2.0719848321004737e-10,-0.20096221224446253,-24.015
53,2026-04-09T11:32:07,2.085969545886252e-10,-0.19939384420763417,-23.837
54,2026-04-09T11:32:10,2.1170465904060215e-10,-0.1946517671624406,-23.301
55,2026-04-09T11:32:12,2.93769637991256e-10,-0.19270651372664815,-23.081
56,2026-04-09T11:32:14,2.4791288472812738e-11,-0.18740387928426117,-22.481
57,2026-04-09T11:32:17,2.048548407838103e-10,-0.19288183699768524,-23.1
58,2026-04-09T11:32:19,2.0710571672890076e-10,-0.19671628812955078,-23.534
59,2026-04-09T11:32:22,2.1490292275168474e-10,-0.1988631036932702,-23.777
60,2026-04-09T11:32:24,1.9659717671030808e-10,-0.18994904840258187,-22.769
61,2026-04-09T11:32:27,2.0759577120497081e-10,-0.18129380365485304,-21.791
62,2026-04-09T11:32:29,2.0550950635097445e-10,-0.1788929482494268,-21.52
63,2026-04-09T11:32:32,1.737622387498519e-10,-0.17462197795293832,-21.038
64,2026-04-09T11:32:34,2.0728950270738894e-10,-0.16889475109906016,-20.393
65,2026-04-09T11:32:36,2.0543062705338943e-10,-0.16544076339209823,-20.004
66,2026-04-09T11:32:39,2.0543053665183125e-10,-0.1652570913938689,-19.983
67,2026-04-09T11:32:41,2.0531523878057033e-10,-0.16327963572462068,-19.76
68,2026-04-09T11:32:44,2.0550623868685476e-10,-0.16305779811636967,-19.735
69,2026-04-09T11:32:46,2.0282671420808242e-10,-0.1659774672830281,-20.064
70,2026-04-09T11:32:49,2.0418376221324104e-10,-0.1639081756146652,-19.831
71,2026-04-09T11:32:51,2.0487732316479044e-10,-0.15827397743521487,-19.197
72,2026-04-09T11:32:54,2.0447643904662873e-10,-0.1570562559404607,-19.06
73,2026-04-09T11:32:56,2.048631315057289e-10,-0.15660661734739278,-19.01
74,2026-04-09T11:32:58,2.050099589916769e-10,-0.15316336371824946,-18.622
75,2026-04-09T11:33:01,2.0744734908493168e-10,-0.15296180159032247,-18.6
76,2026-04-09T11:33:03,2.0402417350188238e-10,-0.147514853435041,-17.988
77,2026-04-09T11:33:06,2.0381567341664566e-10,-0.13794721207273142,-16.914
78,2026-04-09T11:33:08,2.0384331727074543e-10,-0.13788638563175937,-16.907
79,2026-04-09T11:33:10,2.028550576217725e-10,-0.14345260131835857,-17.532
80,2026-04-09T11:33:13,1.8660122958730745e-10,-0.13751307825873482,-16.865
81,2026-04-09T11:33:16,2.034839653577373e-10,-0.13860199081966584,-16.988
82,2026-04-09T11:33:18,2.0296587212060481e-10,-0.13381339943725834,-16.451
83,2026-04-09T11:33:20,2.029187385177204e-10,-0.13138034179837632,-16.178
84,2026-04-09T11:33:23,2.0417576617008548e-10,-0.1271487297872227,-15.704
85,2026-04-09T11:33:25,2.033760902232142e-10,-0.1179520104473113,-14.675
86,2026-04-09T11:33:28,2.0235173316530144e-10,-0.11874871755651384,-14.764
