run,time,capacitance_value,thermo_volt,temperature_C
154,2026-04-07T15:52:19,6.3205760854481396e-12,-0.602593238606346,-65.948
155,2026-04-07T15:52:22,6.455547529443974e-12,-0.6015257942010521,-65.822
156,2026-04-07T15:52:24,6.395369790268841e-12,-0.6093318541257986,-66.743
157,2026-04-07T15:52:27,6.652221485586401e-12,-0.5994851267402055,-65.582
158,2026-04-07T15:52:29,6.460913406276274e-12,-0.6347716185558738,-69.761
159,2026-04-07T15:52:31,6.246514214798784e-12,-0.6392047926949544,-70.289
160,2026-04-07T15:52:34,6.023006895015275e-12,-0.674943308454317,-74.583
161,2026-04-07T15:52:36,6.3580431000526665e-12,-0.7139581032989781,-79.338
162,2026-04-07T15:52:39,6.451956092836743e-12,-0.6608208400709827,-72.88
163,2026-04-07T15:52:41,7.329014786356485e-12,-0.7445144448225847,-83.115
164,2026-04-07T15:52:43,7.087661409634026e-12,-0.7483667860841479,-83.594
165,2026-04-07T15:52:46,7.89609433604677e-12,-0.7082595006526162,-78.639
166,2026-04-07T15:52:48,6.748639374467723e-12,-0.7951816774769895,-89.488
167,2026-04-07T15:52:51,6.934365352087016e-12,-0.81545477245038,-92.08
168,2026-04-07T15:52:53,6.504700954418631e-12,-0.8015601050518626,-90.301
169,2026-04-07T15:52:55,6.1826016730068826e-12,-0.8101103943720318,-91.394
170,2026-04-07T15:52:58,1.1466558131483543e-11,-0.8052156548867515,-90.768
171,2026-04-07T15:53:00,6.694841237355133e-12,-0.7478014579857017,-83.524
172,2026-04-07T15:53:03,6.519612838359789e-12,-0.6791749204654707,-75.095
173,2026-04-07T15:53:05,6.755104128252039e-12,-0.7599309659207165,-85.039
174,2026-04-07T15:53:07,7.055087491166001e-12,-0.6987371809522074,-77.474
175,2026-04-07T15:53:10,6.707461304564787e-12,-0.5844395276644718,-63.816
176,2026-04-07T15:53:12,7.380712357726724e-12,-0.6424130892874018,-70.673
177,2026-04-07T15:53:15,6.458227661962851e-12,-0.675178265491013,-74.612
178,2026-04-07T15:53:17,6.959645912420843e-12,-0.6115693130133195,-67.007
179,2026-04-07T15:53:20,5.9503019914368746e-12,-0.8505361241121818,-96.625
180,2026-04-07T15:53:22,6.712411015575383e-12,-0.8590208162901263,-97.737
181,2026-04-07T15:53:25,6.630451619832092e-12,-0.8717872128423778,-99.418
182,2026-04-07T15:53:27,6.728285225379564e-12,-0.8680028540736657,-98.918
183,2026-04-07T15:53:29,6.694626151141407e-12,-0.879934377906693,-100.497
184,2026-04-07T15:53:32,6.898424769380281e-12,-0.8873289648483933,-101.481
185,2026-04-07T15:53:35,6.650801165262658e-12,-0.8158495479790417,-92.131
186,2026-04-07T15:53:37,6.85939871798981e-12,-0.9013095048694595,-103.351
187,2026-04-07T15:53:39,6.782575953818138e-12,-0.890190192924706,-101.862
188,2026-04-07T15:53:42,6.730705804951478e-12,-0.8977350569558666,-102.871
189,2026-04-07T15:53:44,6.842539992240133e-12,-0.9014132676217059,-103.365
190,2026-04-07T15:53:47,7.036478498805864e-12,-0.9164624447233791,-105.395
