run,time,capacitance_value,thermo_volt,temperature_C
1,2026-04-09T10:06:26,1.5289474501591968e-10,0.25418177006906717,25.901
2,2026-04-09T10:06:29,1.5258767443454822e-10,0.2547828784269086,25.965
3,2026-04-09T10:06:31,1.5282736741363628e-10,0.2557847256899777,26.072
4,2026-04-09T10:06:34,1.5194170341976547e-10,0.254106631524337,25.893
5,2026-04-09T10:06:36,1.5174069215550977e-10,0.2576500698797872,26.27
6,2026-04-09T10:06:38,1.530404311009752e-10,0.2565826254744934,26.157
7,2026-04-09T10:06:41,1.5273397975771507e-10,0.2510569607485422,25.568
8,2026-04-09T10:06:43,1.5293026998400227e-10,0.25203376183003456,25.672
9,2026-04-09T10:06:46,1.5318524795035785e-10,0.2522066997504453,25.69
10,2026-04-09T10:06:48,1.53210895116798e-10,0.25192880640247495,25.661
11,2026-04-09T10:06:50,1.5326339025766195e-10,0.25135274422621023,25.599
12,2026-04-09T10:06:53,1.528661287286945e-10,0.25559628299049564,26.051
13,2026-04-09T10:06:55,1.5328017506291506e-10,0.25608885789483793,26.104
14,2026-04-09T10:06:58,1.5320135365790934e-10,0.2558670202865869,26.08
15,2026-04-09T10:07:00,1.5269654135933112e-10,0.25185963123431065,25.653
16,2026-04-09T10:07:03,1.5296280791697296e-10,0.2544715901701693,25.932
17,2026-04-09T10:07:05,1.527904318990633e-10,0.25032108008031173,25.489
18,2026-04-09T10:07:08,1.528435222095644e-10,0.25312983044284465,25.789
19,2026-04-09T10:07:10,1.529251783052501e-10,0.25499875265859373,25.988
20,2026-04-09T10:07:12,1.7006605975620218e-10,0.2561389502579914,26.109
21,2026-04-09T10:07:15,1.514459189778919e-10,0.25471251058343114,25.957
22,2026-04-09T10:07:17,1.5204889306797445e-10,0.25518361733213624,26.008
23,2026-04-09T10:07:20,1.524594722449031e-10,0.25304515049560905,25.78
24,2026-04-09T10:07:22,1.513902168403792e-10,0.25411975095278194,25.894
25,2026-04-09T10:07:25,1.52867678025999e-10,0.2561115187257883,26.106
26,2026-04-09T10:07:27,1.5312142645030246e-10,0.25569527504148937,26.062
27,2026-04-09T10:07:30,1.5315241125459499e-10,0.25390268404578364,25.871
28,2026-04-09T10:07:32,1.5318114857722328e-10,0.2550059087104728,25.989
29,2026-04-09T10:07:35,1.5258403671143942e-10,0.25455388476677854,25.94
30,2026-04-09T10:07:37,1.5309807850333478e-10,0.2551382956702355,26.003
