run,time,capacitance_value,thermo_volt,temperature_C
1,2026-04-09T13:36:13,9.67710423650997e-11,0.2505822759738976,25.517
2,2026-04-09T13:36:15,9.683569731148921e-11,0.24648543627313302,25.081
3,2026-04-09T13:36:18,9.704323458823468e-11,0.2477615988582329,25.217
4,2026-04-09T13:36:20,9.695889281001345e-11,0.24861436170715479,25.307
5,2026-04-09T13:36:23,9.68355939367446e-11,0.2481420622831365,25.257
6,2026-04-09T13:36:25,9.71325423006386e-11,0.24763278992440974,25.203
7,2026-04-09T13:36:27,9.86016434205315e-11,0.24740856696553237,25.179
8,2026-04-09T13:36:30,9.69524076327773e-11,0.2476447166775415,25.204
9,2026-04-09T13:36:32,9.650797430702077e-11,0.24694461626870634,25.129
10,2026-04-09T13:36:35,9.678312610001436e-11,0.24525101732399435,24.949
11,2026-04-09T13:36:37,9.579536583639724e-11,0.24553010334727787,24.979
12,2026-04-09T13:36:40,9.662318068747182e-11,0.2456553342551615,24.992
13,2026-04-09T13:36:42,9.723117857673596e-11,0.24610855087416894,25.04
14,2026-04-09T13:36:45,9.684775272454579e-11,0.24575909700740795,25.003
15,2026-04-09T13:36:47,9.680867138336577e-11,0.24717599527946277,25.154
16,2026-04-09T13:36:50,9.688354191550014e-11,0.24846169926706807,25.291
17,2026-04-09T13:36:52,9.72054131548189e-11,0.24915702897465053,25.365
18,2026-04-09T13:36:55,9.700481136431805e-11,0.24872885853721982,25.32
19,2026-04-09T13:36:57,9.703583704016131e-11,0.247533797873416,25.192
20,2026-04-09T13:36:59,9.641234374108344e-11,0.2472642532526379,25.164
21,2026-04-09T13:37:02,9.724938192874207e-11,0.24604891710851007,25.034
22,2026-04-09T13:37:04,9.658989410694582e-11,0.24659635507725852,25.092
23,2026-04-09T13:37:07,9.738877639125721e-11,0.24752544914622376,25.191
24,2026-04-09T13:37:09,9.639917955976823e-11,0.24882307988696084,25.33
25,2026-04-09T13:37:11,9.694878178415012e-11,0.24813848425719698,25.257
26,2026-04-09T13:37:14,9.679062753313207e-11,0.24782242529920495,25.223
27,2026-04-09T13:37:16,9.72174548268655e-11,0.24698158920341484,25.133
28,2026-04-09T13:37:19,9.678811493516296e-11,0.24752544914622376,25.191
29,2026-04-09T13:37:21,9.70245173230273e-11,0.24877418019912056,25.325
30,2026-04-09T13:37:23,9.668833564894385e-11,0.24854160851305096,25.3
