run,time,capacitance_value,thermo_volt,temperature_C
1,2026-04-09T15:45:07,1.269289072874489e-10,0.2514493509265776,25.61
2,2026-04-09T15:45:10,1.2635305964216815e-10,0.2559171126497404,26.086
3,2026-04-09T15:45:12,1.2685333575444905e-10,0.24634470058617808,25.066
4,2026-04-09T15:45:14,1.267673543654784e-10,0.2506347536876774,25.523
5,2026-04-09T15:45:17,1.2690766690220686e-10,0.2471736099288364,25.154
6,2026-04-09T15:45:19,1.322500623056448e-10,0.2512859544086723,25.592
7,2026-04-09T15:45:22,1.2714233880076365e-10,0.2559326174288117,26.087
8,2026-04-09T15:45:24,1.265766470579702e-10,0.24705076437157913,25.141
9,2026-04-09T15:45:27,1.2759674960323582e-10,0.250847049893423,25.545
10,2026-04-09T15:45:29,1.2679971871524715e-10,0.2528984514320882,25.764
11,2026-04-09T15:45:32,1.2654224396582737e-10,0.251619903496362,25.628
12,2026-04-09T15:45:34,1.2663622555404914e-10,0.24017499119111108,24.407
13,2026-04-09T15:45:36,1.27307266912795e-10,0.23543172147060432,23.901
14,2026-04-09T15:45:39,1.2541299342057497e-10,0.25068961675208357,25.529
15,2026-04-09T15:45:41,1.2308850998173292e-10,0.24372558559844038,24.786
16,2026-04-09T15:45:44,1.270473963587435e-10,0.2415501458272047,24.554
17,2026-04-09T15:45:46,1.2546544475389361e-10,0.2498463953056671,25.439
18,2026-04-09T15:45:49,1.2639923107701517e-10,0.24744792525086723,25.183
19,2026-04-09T15:45:51,1.268975132849302e-10,0.24470238667993272,24.89
20,2026-04-09T15:45:54,1.2696507478132117e-10,0.2433964072120034,24.751
21,2026-04-09T15:45:56,1.2698921584571084e-10,0.23410308117172463,23.759
22,2026-04-09T15:45:59,1.2655217260635635e-10,0.23753560072304936,24.126
23,2026-04-09T15:46:01,1.267289517699276e-10,0.2420045551215253,24.603
24,2026-04-09T15:46:03,1.2622185168661204e-10,0.2465236018831547,25.085
25,2026-04-09T15:46:06,1.2676383010546288e-10,0.2517618318586301,25.643
26,2026-04-09T15:46:08,1.2648791952719616e-10,0.24921785541562258,25.372
27,2026-04-09T15:46:11,1.2695416220826616e-10,0.2518584385589975,25.653
28,2026-04-09T15:46:13,1.2383034388896102e-10,0.2535448814518304,25.833
29,2026-04-09T15:46:16,1.2683056100859487e-10,0.2532646027532337,25.803
30,2026-04-09T15:46:18,1.2691954585932798e-10,0.24651048245470975,25.083
