run,frequency_hz,gain_db
1,9999.99999962142,-20.04717580299146
1,10038.31391184772,-20.056559684512
1,10076.77461966102,-20.04021635992437
1,10115.38268549266,-20.03956866416913
1,10154.13867392886,-20.06641272920475
1,10193.04315171898,-20.04528300663239
1,10232.09668778383,-20.04596910310021
1,10271.29985322399,-20.03288184714416
1,10310.65322132811,-20.04232864797679
1,10350.15736758137,-20.02287514988383
1,10389.81286967385,-20.02972189088747
1,10429.62030750898,-20.0295236648055
1,10469.58026321204,-20.04925952773066
1,10509.69332113863,-20.03717701580864
1,10549.96006788329,-20.00180531423779
1,10590.38109228799,-20.02307366749113
1,10630.95698545082,-20.04621669832631
1,10671.68834073456,-20.03029679848874
1,10712.57575377543,-20.01914746944946
1,10753.61982249175,-20.0409548270799
1,10794.82114709269,-20.01482156796694
1,10836.18033008708,-20.03085109496769
1,10877.69797629217,-20.00647163496948
1,10919.37469284252,-20.04587784954945
1,10961.21108919886,-20.01871593829406
1,11003.20777715699,-20.02945802680528
1,11045.36537085675,-20.01776798707019
1,11087.68448679098,-20.01942311196519
1,11130.16574381456,-20.01538645085838
1,11172.80976315343,-20.0305137602723
1,11215.6171684137,-19.99411175256026
1,11258.58858559075,-20.0276419204458
1,11301.72464307841,-20.00769687896536
1,11345.02597167811,-20.01091586460806
1,11388.49320460814,-20.02320463926468
1,11432.12697751289,-20.00903844457506
1,11475.92792847217,-20.01897310047414
1,11519.89669801051,-20.00628332496607
1,11564.03392910653,-20.03670532637111
1,11608.34026720237,-19.99794199657503
1,11652.8163602131,-19.98336477944985
1,11697.46285853622,-20.0012141794511
1,11742.28041506114,-20.00134903427577
1,11787.26968517876,-19.97327581699044
1,11832.43132679102,-19.97503569204438
1,11877.76600032056,-19.97453502185804
1,11923.27436872035,-19.97975893618271
1,11968.95709748339,-19.95949923953786
1,12014.81485465245,-19.98552147948488
1,12060.84831082982,-19.97603930158695
1,12107.05813918714,-19.99613990277062
1,12153.44501547524,-19.94569250313588
1,12200.009618034,-19.96483013979329
1,12246.75262780229,-19.96191635095808
1,12293.67472832793,-19.96952559118851
1,12340.77660577769,-19.9647039117437
1,12388.05894894728,-19.97644379725684
1,12435.52244927148,-19.9988325693351
1,12483.16780083423,-19.97258894037293
1,12530.99570037876,-19.9831009372414
1,12579.00684731781,-19.96659248600266
1,12627.20194374384,-19.99014345103528
1,12675.5816944393,-19.96234350317715
1,12724.14680688693,-19.96230134438283
1,12772.89799128012,-19.93059342267682
1,12821.8359605333,-19.94297721671681
1,12870.96143029233,-19.96826290450282
1,12920.27511894502,-19.95695077074531
1,12969.77774763157,-19.95405557281422
1,13019.47004025517,-19.95239477591118
1,13069.35272349257,-19.95302725199428
1,13119.4265268047,-19.95622797595207
1,13169.69218244733,-19.93863504105265
1,13220.15042548179,-19.94490502860652
1,13270.80199378574,-19.9264528902905
1,13321.6476280639,-19.92041864685236
1,13372.68807185895,-19.95146681134615
1,13423.92407156236,-19.94931821423308
1,13475.35637642533,-19.93381420075884
1,13526.98573856972,-19.93767392478711
1,13578.81291299906,-19.93219501467454
1,13630.83865760962,-19.92203341329423
1,13683.06373320143,-19.94067719208273
1,13735.48890348948,-19.93029496907836
1,13788.11493511482,-19.9400605053749
1,13840.94259765582,-19.9316454017002
1,13893.97266363939,-19.92777552252375
1,13947.20590855232,-19.9217983210834
1,14000.64311085257,-19.92264022443307
1,14054.28505198068,-19.9234922482118
1,14108.1325163712,-19.91667471937304
1,14162.18629146416,-19.91121659284054
1,14216.44716771657,-19.91011638009624
1,14270.91593861399,-19.92150344965861
1,14325.59340068214,-19.92444468140616
1,14380.48035349854,-19.92050896351619
1,14435.57759970421,-19.90297053514025
1,14490.88594501539,-19.89262626747031
1,14546.40619823534,-19.92110349979107
1,14602.13917126616,-19.8963660949316
1,14658.08567912067,-19.91321012060421
1,14714.24653993433,-19.90425870901349
1,14770.62257497716,-19.8998131956
1,14827.21460866584,-19.8803973251827
1,14884.02346857567,-19.8747243112709
1,14941.04998545273,-19.8970067796716
1,14998.29499322602,-19.86945711469639
1,15055.75932901964,-19.89489768213629
1,15113.44383316504,-19.89692359810973
1,15171.34934921332,-19.88610494457142
1,15229.47672394753,-19.88115967564013
1,15287.82680739511,-19.88551969080076
1,15346.40045284025,-19.87098970569449
1,15405.19851683644,-19.88414036182773
1,15464.22185921893,-19.88844659054252
1,15523.47134311737,-19.86126236233428
1,15582.94783496838,-19.87178749449697
1,15642.65220452822,-19.86423796672648
1,15702.58532488556,-19.87259716065466
1,15762.74807247418,-19.87221402207114
1,15823.14132708586,-19.84241826840605
1,15883.76597188317,-19.86159896040105
1,15944.62289341244,-19.84763719628286
1,16005.7129816167,-19.84707227586984
1,16067.0371298487,-19.86783839780334
1,16128.59623488399,-19.8259501607282
1,16190.39119693399,-19.85765323677654
1,16252.4229196592,-19.85111478389781
1,16314.69231018239,-19.84892593147897
1,16377.20027910188,-19.84516885814037
1,16439.94774050485,-19.84168853651873
1,16502.93561198068,-19.83628301714128
1,16566.16481463443,-19.84211695141061
1,16629.63627310024,-19.82124767047529
1,16693.35091555493,-19.8523659805851
1,16757.30967373147,-19.82722311313983
1,16821.51348293271,-19.82487386202914
1,16885.96328204499,-19.84367376051664
1,16950.6600135519,-19.81895850561827
1,17015.60462354805,-19.83440425810098
1,17080.7980617529,-19.83508621802773
1,17146.24128152468,-19.81819041059265
1,17211.93523987428,-19.82946791868019
1,17277.88089747928,-19.80646073753402
1,17344.07921869802,-19.8164871960863
1,17410.53117158364,-19.82267336738761
1,17477.23772789827,-19.79438246208204
1,17544.19986312728,-19.80004514301157
1,17611.41855649346,-19.80332777159621
1,17678.89479097141,-19.78045362497634
1,17746.62955330188,-19.79323245533383
1,17814.62383400622,-19.76933576303275
1,17882.87862740085,-19.78552940881026
1,17951.39493161181,-19.79503303682471
1,18020.17374858934,-19.7945515327391
1,18089.21608412254,-19.79383727946622
1,18158.52294785411,-19.80117808318121
1,18228.09535329506,-19.79010839402167
1,18297.93431783956,-19.77965627381163
1,18368.04086277983,-19.77694988518032
1,18438.41601332104,-19.75657756588551
1,18509.06079859633,-19.76535698534865
1,18579.97625168186,-19.74197347821465
1,18651.16340961191,-19.7728420859227
1,18722.62331339401,-19.7722860985727
1,18794.35700802425,-19.76798198491231
1,18866.36554250248,-19.75450331163269
1,18938.64996984767,-19.74939197298058
1,19011.21134711333,-19.75489589128717
1,19084.05073540297,-19.75061603064092
1,19157.16919988556,-19.75722489174629
1,19230.5678098112,-19.74542598965172
1,19304.24763852667,-19.76117279351381
1,19378.20976349117,-19.72190381436757
1,19452.45526629209,-19.74764217857158
1,19526.98523266076,-19.71964775198613
1,19601.80075248842,-19.72692077030496
1,19676.90291984206,-19.7285949131257
1,19752.29283298053,-19.74343399962104
