run,time,resonant_frequency_hz,temperature_C
1,2026-04-01T16:16:42,197469.0889191859,2.0
2,2026-04-01T16:16:48,192201.7948450663,3.0
3,2026-04-01T16:16:50,194817.641184487,4.0
4,2026-04-01T16:16:51,194817.641184487,4.0
5,2026-04-01T16:16:52,192201.7948450663,4.0
6,2026-04-01T16:16:53,192201.7948450663,4.0
7,2026-04-01T16:16:54,194817.641184487,4.0
8,2026-04-01T16:16:55,194817.641184487,4.0
9,2026-04-01T16:16:55,194817.641184487,4.0
10,2026-04-01T16:16:56,197469.0889191859,4.0
11,2026-04-01T16:17:15,192201.7948450663,2.0
1,2026-04-01T16:22:28,194817.641184487,3.0
2,2026-04-01T16:22:29,192201.7948450663,4.0
3,2026-04-01T16:22:30,194817.641184487,5.0
4,2026-04-01T16:22:31,194817.641184487,6.0
5,2026-04-01T16:22:37,194817.641184487,2.0
6,2026-04-01T16:22:38,194817.641184487,2.0
1,2026-04-07T10:04:20,1310.439075816766,22.203
2,2026-04-07T10:04:20,1114.209183927904,22.271
3,2026-04-07T10:04:21,1224.792803878379,22.423
4,2026-04-07T10:04:22,1013.609895174207,22.613
5,2026-04-07T10:04:23,1241.462105927077,22.719
6,2026-04-07T10:04:24,432521.742218142,22.078
7,2026-04-07T10:04:25,1402.074347587384,22.178
8,2026-04-07T10:04:27,1694.192785215816,22.236
9,2026-04-07T10:04:28,1013.609895174207,22.132
10,2026-04-07T10:04:29,1421.156432916966,22.076
11,2026-04-07T10:04:30,1862.338923109492,21.951
12,2026-04-07T10:04:31,1479.975106374074,22.502
13,2026-04-07T10:04:32,1069.92715116255,22.331
14,2026-04-07T10:04:33,1160.323956822997,22.355
15,2026-04-07T10:04:35,1176.115844601384,22.141
16,2026-04-07T10:04:36,1310.439075816766,21.812
17,2026-04-07T10:04:37,1275.484400042829,21.851
18,2026-04-07T10:04:39,1328.274014675025,22.24
19,2026-04-07T10:04:40,432521.742218142,23.283
20,2026-04-07T10:04:41,1583.465549836171,nan
21,2026-04-07T10:04:42,1160.323956822997,nan
22,2026-04-07T10:04:44,1562.204115106984,24.5
23,2026-04-07T10:04:45,1275.484400042829,nan
24,2026-04-07T10:04:46,1144.744109143168,nan
25,2026-04-07T10:04:47,1292.843609417175,nan
26,2026-04-07T10:04:48,1275.484400042829,nan
27,2026-04-07T10:04:49,1562.204115106984,nan
28,2026-04-07T10:04:51,1364.675390905384,nan
29,2026-04-07T10:04:52,1440.498223433475,nan
30,2026-04-07T10:04:53,1694.192785215816,nan
31,2026-04-07T10:04:54,1500.117412888763,nan
